Ranking,Port,Country,Region,Year,Container
41,Salalah,Oman,Middle East & North Africa,2012,3620000
41,Salalah,Oman,Middle East & North Africa,2013,3340000
41,Salalah,Oman,Middle East & North Africa,2014,
41,Salalah,Oman,Middle East & North Africa,2015,
42,Taicang,China,East Asia & Pacific,2004,
42,Taicang,China,East Asia & Pacific,2005,
42,Taicang,China,East Asia & Pacific,2006,
42,Taicang,China,East Asia & Pacific,2007,
42,Taicang,China,East Asia & Pacific,2008,
42,Taicang,China,East Asia & Pacific,2009,
42,Taicang,China,East Asia & Pacific,2010,2212000
42,Taicang,China,East Asia & Pacific,2011,3058000
42,Taicang,China,East Asia & Pacific,2012,4015000
42,Taicang,China,East Asia & Pacific,2013,3267000
42,Taicang,China,East Asia & Pacific,2014,
42,Taicang,China,East Asia & Pacific,2015,
43,Piraeus,Greece,Europe & Central Asia,2004,
43,Piraeus,Greece,Europe & Central Asia,2005,
43,Piraeus,Greece,Europe & Central Asia,2006,
43,Piraeus,Greece,Europe & Central Asia,2007,1373000
43,Piraeus,Greece,Europe & Central Asia,2008,434000
43,Piraeus,Greece,Europe & Central Asia,2009,665000
43,Piraeus,Greece,Europe & Central Asia,2010,1198000
43,Piraeus,Greece,Europe & Central Asia,2011,1680000
43,Piraeus,Greece,Europe & Central Asia,2012,2745000
43,Piraeus,Greece,Europe & Central Asia,2013,3164000
43,Piraeus,Greece,Europe & Central Asia,2014,
43,Piraeus,Greece,Europe & Central Asia,2015,
44,Gioia Tauro,Italy,Europe & Central Asia,2004,3261000
44,Gioia Tauro,Italy,Europe & Central Asia,2005,3161000
44,Gioia Tauro,Italy,Europe & Central Asia,2006,2900000
44,Gioia Tauro,Italy,Europe & Central Asia,2007,3445000
44,Gioia Tauro,Italy,Europe & Central Asia,2008,3468000
44,Gioia Tauro,Italy,Europe & Central Asia,2009,2857000
44,Gioia Tauro,Italy,Europe & Central Asia,2010,2851000
44,Gioia Tauro,Italy,Europe & Central Asia,2011,2305000
44,Gioia Tauro,Italy,Europe & Central Asia,2012,2721000
44,Gioia Tauro,Italy,Europe & Central Asia,2013,3087000
44,Gioia Tauro,Italy,Europe & Central Asia,2014,
44,Gioia Tauro,Italy,Europe & Central Asia,2015,
45,Balboa,Panama,Latin America & Caribbean,2004,
45,Balboa,Panama,Latin America & Caribbean,2005,663000
45,Balboa,Panama,Latin America & Caribbean,2006,988000
45,Balboa,Panama,Latin America & Caribbean,2007,2167000
45,Balboa,Panama,Latin America & Caribbean,2008,2011000
45,Balboa,Panama,Latin America & Caribbean,2009,2012000
45,Balboa,Panama,Latin America & Caribbean,2010,2759000
45,Balboa,Panama,Latin America & Caribbean,2011,3232000
45,Balboa,Panama,Latin America & Caribbean,2012,3251000
45,Balboa,Panama,Latin America & Caribbean,2013,3064000
45,Balboa,Panama,Latin America & Caribbean,2014,
45,Balboa,Panama,Latin America & Caribbean,2015,
46,Savannah,United States,North America,2004,1662000
46,Savannah,United States,North America,2005,1902000
46,Savannah,United States,North America,2006,2160000
46,Savannah,United States,North America,2007,2604000
46,Savannah,United States,North America,2008,2616000
46,Savannah,United States,North America,2009,2356000
46,Savannah,United States,North America,2010,2825000
46,Savannah,United States,North America,2011,2945000
46,Savannah,United States,North America,2012,2966000
46,Savannah,United States,North America,2013,3034000
46,Savannah,United States,North America,2014,
46,Savannah,United States,North America,2015,
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2004,
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2005,
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2006,
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2007,
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2008,
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2009,
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2010,3030000
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2011,2644000
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2012,2849000
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2013,3001000
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2014,
47,Tanjung Perak (Surabaya),Indonesia,East Asia & Pacific,2015,
48,Yokohama,Japan,East Asia & Pacific,2004,2718000
48,Yokohama,Japan,East Asia & Pacific,2005,2873000
48,Yokohama,Japan,East Asia & Pacific,2006,3200000
48,Yokohama,Japan,East Asia & Pacific,2007,3400000
48,Yokohama,Japan,East Asia & Pacific,2008,3490000
48,Yokohama,Japan,East Asia & Pacific,2009,2555000
48,Yokohama,Japan,East Asia & Pacific,2010,3280000
48,Yokohama,Japan,East Asia & Pacific,2011,3083000
48,Yokohama,Japan,East Asia & Pacific,2012,3053000
48,Yokohama,Japan,East Asia & Pacific,2013,2888000
48,Yokohama,Japan,East Asia & Pacific,2014,
48,Yokohama,Japan,East Asia & Pacific,2015,
49,Vancouver,Canada,North America,2004,
49,Vancouver,Canada,North America,2005,1665000
49,Vancouver,Canada,North America,2006,1767000
49,Vancouver,Canada,North America,2007,2208000
49,Vancouver,Canada,North America,2008,2307000
49,Vancouver,Canada,North America,2009,2492000
49,Vancouver,Canada,North America,2010,2514000
49,Vancouver,Canada,North America,2011,2551000
49,Vancouver,Canada,North America,2012,2713000
49,Vancouver,Canada,North America,2013,2825000
49,Vancouver,Canada,North America,2014,
49,Vancouver,Canada,North America,2015,
50,Malta Freeport,Malta,Middle East & North Africa,2004,
50,Malta Freeport,Malta,Middle East & North Africa,2005,
50,Malta Freeport,Malta,Middle East & North Africa,2006,
50,Malta Freeport,Malta,Middle East & North Africa,2007,
50,Malta Freeport,Malta,Middle East & North Africa,2008,
50,Malta Freeport,Malta,Middle East & North Africa,2009,
50,Malta Freeport,Malta,Middle East & North Africa,2010,2371000
50,Malta Freeport,Malta,Middle East & North Africa,2011,2360000
50,Malta Freeport,Malta,Middle East & North Africa,2012,2540000
50,Malta Freeport,Malta,Middle East & North Africa,2013,2750000
50,Malta Freeport,Malta,Middle East & North Africa,2014,
50,Malta Freeport,Malta,Middle East & North Africa,2015,
