year,country,name,prize,,,,,,,,
1944,Germany,Otto Hahn,Chemistry,,,,,,,,
1939,Germany,Adolf Butenandt,Chemistry,,,,,,,,
1938,Germany,Richard Kuhn,Chemistry,,,,,,,,
1931,Germany,Friedrich Bergius,Chemistry,,,,,,,,
1931,Germany,Carl Bosch,Chemistry,,,,,,,,
1930,Germany,Hans Fischer,Chemistry,,,,,,,,
1928,Germany,Adolf Windaus,Chemistry,,,,,,,,
1927,Germany,Heinrich Wieland,Chemistry,,,,,,,,
1925,Germany,Richard Zsigmondy,Chemistry,,,,,,,,
1920,Germany,Walther Nernst,Chemistry,,,,,,,,
1918,Germany,Fritz Haber,Chemistry,,,,,,,,
1915,Germany,Richard Willst_tter,Chemistry,,,,,,,,
1910,Germany,Otto Wallach,Chemistry,,,,,,,,
1909,Germany,Wilhelm Ostwald,Chemistry,,,,,,,,
1907,Germany,Eduard Buchner,Chemistry,,,,,,,,
1905,Germany,Adolf von Baeyer,Chemistry,,,,,,,,
1902,Germany,Emil Fischer,Chemistry,,,,,,,,
1994,Germany,Reinhard Selten,Economics,,,,,,,,
2009,Germany,Herta M»ller,Literature,,,,,,,,
1999,Germany,G»nter Grass,Literature,,,,,,,,
1972,Germany,Heinrich B_ll,Literature,,,,,,,,
1929,Germany,Thomas Mann,Literature,,,,,,,,
1912,Germany,Gerhart Hauptmann,Literature,,,,,,,,
1910,Germany,Paul Heyse,Literature,,,,,,,,
1908,Germany,Rudolf Eucken,Literature,,,,,,,,
1902,Germany,Theodor Mommsen,Literature,,,,,,,,
2013,Germany,Thomas C. S»dhof,Medicine,,,,,,,,
2008,Germany,Harald zur Hausen,Medicine,,,,,,,,
1995,Germany,Christiane N»sslein-Volhard,Medicine,,,,,,,,
1991,Germany,Erwin Neher,Medicine,,,,,,,,
1991,Germany,Bert Sakmann,Medicine,,,,,,,,
1984,Germany,Georges J.F. K_hler,Medicine,,,,,,,,
1973,Germany,Karl von Frisch,Medicine,,,,,,,,
1964,Germany,Feodor Lynen,Medicine,,,,,,,,
1956,Germany,Werner Forssmann,Medicine,,,,,,,,
1939,Germany,Gerhard Domagk,Medicine,,,,,,,,
1935,Germany,Hans Spemann,Medicine,,,,,,,,
1931,Germany,Otto Warburg,Medicine,,,,,,,,
1922,Germany,Otto Meyerhof,Medicine,,,,,,,,
1910,Germany,Albrecht Kossel,Medicine,,,,,,,,
1908,Germany,Paul Ehrlich,Medicine,,,,,,,,
1905,Germany,Robert Koch,Medicine,,,,,,,,
1901,Germany,Emil von Behring,Medicine,,,,,,,,
1971,Germany,Norman Borlaug,Peace,,,,,,,,
1935,Germany,Arthur Henderson,Peace,,,,,,,,
1927,Germany,Aristide Briand,Peace,,,,,,,,
1926,Germany,Sir Austen Chamberlain,Peace,,,,,,,,
2007,Germany,Peter Gr»nberg,Physics,,,,,,,,
2005,Germany,Theodor W. H_nsch,Physics,,,,,,,,
2001,Germany,Wolfgang Ketterle,Physics,,,,,,,,
2000,Germany,Herbert Kroemer,Physics,,,,,,,,
1998,Germany,Horst L. St_rmer,Physics,,,,,,,,
1989,Germany,Wolfgang Paul,Physics,,,,,,,,
1987,Germany,J. Georg Bednorz,Physics,,,,,,,,
1986,Germany,Gerd Binnig,Physics,,,,,,,,
1986,Germany,Ernst Ruska,Physics,,,,,,,,
1985,Germany,Klaus von Klitzing,Physics,,,,,,,,
1963,Germany,J. Hans D. Jensen,Physics,,,,,,,,
1961,Germany,Rudolf M_ssbauer,Physics,,,,,,,,
1954,Germany,Walther Bothe,Physics,,,,,,,,
1932,Germany,Werner Heisenberg,Physics,,,,,,,,
1925,Germany,James Franck,Physics,,,,,,,,
1925,Germany,Gustav Hertz,Physics,,,,,,,,
1921,Germany,Albert Einstein,Physics,,,,,,,,
1919,Germany,Johannes Stark,Physics,,,,,,,,
1918,Germany,Max Planck,Physics,,,,,,,,
1914,Germany,Max von Laue,Physics,,,,,,,,
1911,Germany,Wilhelm Wien,Physics,,,,,,,,
1909,Germany,Ferdinand Braun,Physics,,,,,,,,
1905,Germany,Philipp Lenard,Physics,,,,,,,,
1901,Germany,Wilhelm Conrad R_ntgen,Physics,,,,,,,,
2001,Ghana,United Nations ,Peace,,,,,,,,
1979,Greece,Odysseus Elytis,Literature,,,,,,,,
1963,Greece,Giorgos Seferis,Literature,,,,,,,,
1967,Guatemala,Miguel Angel Asturias,Literature,,,,,,,,
1992,Guatemala,Aung San Suu Kyi,Peace,,,,,,,,
1943,Hungary,George de Hevesy,Chemistry,,,,,,,,
2002,Hungary,Imre Kert_sz,Literature,,,,,,,,
1937,Hungary,Albert Szent-Gy_rgyi,Medicine,,,,,,,,
1955,Iceland,HalldÜr Laxness,Literature,,,,,,,,
1998,India,Amartya Sen,Economics,,,,,,,,
1913,India,Rabindranath Tagore,Literature,,,,,,,,
2014,India,Malala Yousafzai,Peace,,,,,,,,
1979,India,Anwar al-Sadat,Peace,,,,,,,,
1930,India,Venkata Raman,Physics,,,,,,,,
2003,Iran,Jimmy Carter,Peace,,,,,,,,
1995,Ireland,Seamus Heaney,Literature,,,,,,,,
1969,Ireland,Samuel Beckett,Literature,,,,,,,,
1923,Ireland,William Butler Yeats,Literature,,,,,,,,
2015,Ireland,William C. Campbell,Medicine,,,,,,,,
1974,Ireland,Eisaku Sato,Peace,,,,,,,,
1951,Ireland,Ernest T.S. Walton,Physics,,,,,,,,
2013,Israel,Arieh Warshel,Chemistry,,,,,,,,
2011,Israel,Dan Shechtman,Chemistry,,,,,,,,
2009,Israel,Ada E. Yonath,Chemistry,,,,,,,,
2004,Israel,Aaron Ciechanover,Chemistry,,,,,,,,
2004,Israel,Avram Hershko,Chemistry,,,,,,,,
2005,Israel,Robert J. Aumann,Economics,,,,,,,,
1966,Israel,Samuel Agnon,Literature,,,,,,,,
1994,Israel,Yitzhak Rabin,Peace,,,,,,,,
1994,Israel,F.W. de Klerk,Peace,,,,,,,,
1978,Israel,Amnesty International ,Peace,,,,,,,,
1963,Italy,Giulio Natta,Chemistry,,,,,,,,
1997,Italy,Dario Fo,Literature,,,,,,,,
1975,Italy,Eugenio Montale,Literature,,,,,,,,
1959,Italy,Salvatore Quasimodo,Literature,,,,,,,,
1934,Italy,Luigi Pirandello,Literature,,,,,,,,
1926,Italy,Grazia Deledda,Literature,,,,,,,,
1906,Italy,Giosuè Carducci,Literature,,,,,,,,
1986,Italy,Rita Levi-Montalcini,Medicine,,,,,,,,
1957,Italy,Daniel Bovet,Medicine,,,,,,,,
1906,Italy,Camillo Golgi,Medicine,,,,,,,,
1907,Italy,Louis Renault,Peace,,,,,,,,
1984,Italy,Carlo Rubbia,Physics,,,,,,,,
1938,Italy,Enrico Fermi,Physics,,,,,,,,
1909,Italy,Guglielmo Marconi,Physics,,,,,,,,
2010,Japan,Akira Suzuki,Chemistry,,,,,,,,
2002,Japan,Koichi Tanaka,Chemistry,,,,,,,,
2001,Japan,Ryoji Noyori,Chemistry,,,,,,,,
2000,Japan,Hideki Shirakawa,Chemistry,,,,,,,,
1981,Japan,Kenichi Fukui,Chemistry,,,,,,,,
1994,Japan,Kenzaburo Oe,Literature,,,,,,,,
1968,Japan,Yasunari Kawabata,Literature,,,,,,,,
2015,Japan,Satoshi _mura,Medicine,,,,,,,,
2012,Japan,Shinya Yamanaka,Medicine,,,,,,,,
1987,Japan,Susumu Tonegawa,Medicine,,,,,,,,
1974,Japan,Henry Kissinger,Peace,,,,,,,,
2015,Japan,Takaaki Kajita,Physics,,,,,,,,
2014,Japan,Isamu Akasaki,Physics,,,,,,,,
2014,Japan,Hiroshi Amano,Physics,,,,,,,,
2014,Japan,Shuji Nakamura,Physics,,,,,,,,
2008,Japan,Makoto Kobayashi,Physics,,,,,,,,
2008,Japan,Toshihide Maskawa,Physics,,,,,,,,
2002,Japan,Masatoshi Koshiba,Physics,,,,,,,,
1973,Japan,Leo Esaki,Physics,,,,,,,,
1965,Japan,Sin-Itiro Tomonaga,Physics,,,,,,,,
1949,Japan,Hideki Yukawa,Physics,,,,,,,,
2004,Kenya,Shirin Ebadi,Peace,,,,,,,,
2011,Liberia,Leymah Gbowee,Peace,,,,,,,,
2011,Liberia,Tawakkul Karman,Peace,,,,,,,,
1990,Mexico,Octavio Paz,Literature,,,,,,,,
1982,Mexico,Office of the United Nations High Commissioner for Refugees ,Peace,,,,,,,,
1991,Myanmar,Mikhail Gorbachev,Peace,,,,,,,,
1995,Netherlands,Paul J. Crutzen,Chemistry,,,,,,,,
1936,Netherlands,Peter Debye,Chemistry,,,,,,,,
1901,Netherlands,Jacobus H. van 't Hoff,Chemistry,,,,,,,,
1969,Netherlands,Jan Tinbergen,Economics,,,,,,,,
1929,Netherlands,Christiaan Eijkman,Medicine,,,,,,,,
1924,Netherlands,Willem Einthoven,Medicine,,,,,,,,
2013,Netherlands,European Union (EU) ,Peace,,,,,,,,
1911,Netherlands,Alfred Fried,Peace,,,,,,,,
1999,Netherlands,Gerardus t Hooft,Physics,,,,,,,,
1999,Netherlands,Martinus J.G. Veltman,Physics,,,,,,,,
1984,Netherlands,Simon van der Meer,Physics,,,,,,,,
1953,Netherlands,Frits Zernike,Physics,,,,,,,,
1913,Netherlands,Heike Kamerlingh Onnes,Physics,,,,,,,,
1910,Netherlands,Johannes Diderik van der Waals,Physics,,,,,,,,
1902,Netherlands,Pieter Zeeman,Physics,,,,,,,,
1902,Netherlands,Hendrik A. Lorentz,Physics,,,,,,,,
1986,Nigeria,Wole Soyinka,Literature,,,,,,,,
1969,Norway,Odd Hassel,Chemistry,,,,,,,,
2004,Norway,Finn E. Kydland,Economics,,,,,,,,
1989,Norway,Trygve Haavelmo,Economics,,,,,,,,
1969,Norway,Ragnar Frisch,Economics,,,,,,,,
1928,Norway,Sigrid Undset,Literature,,,,,,,,
1920,Norway,Knut Hamsun,Literature,,,,,,,,
1903,Norway,Bjèrnstjerne Bjèrnson,Literature,,,,,,,,
2014,Norway,May-Britt Moser,Medicine,,,,,,,,
2014,Norway,Edvard Moser,Medicine,,,,,,,,
1922,Norway,Hjalmar Branting,Peace,,,,,,,,
1921,Norway,L_on Bourgeois,Peace,,,,,,,,
2014,Pakistan,Malala Yousafzai,Peace,,,,,,,,
2014,Pakistan,Kailash Satyarthi,Peace,,,,,,,,
1979,Pakistan,Abdus Salam,Physics,,,,,,,,
1994,Palestinian Territory,Shimon Peres,Peace,,,,,,,,
2010,Peru,Mario Vargas Llosa,Literature,,,,,,,,
1996,Poland,Wislawa Szymborska,Literature,,,,,,,,
1980,Poland,Czeslaw Milosz,Literature,,,,,,,,
1924,Poland,Wladyslaw Reymont,Literature,,,,,,,,
1905,Poland,Henryk Sienkiewicz,Literature,,,,,,,,
1983,Poland,Alva Myrdal,Peace,,,,,,,,
1998,Portugal,Jos_ Saramago,Literature,,,,,,,,
1949,Portugal,Egas Moniz,Medicine,,,,,,,,
2007,Russia,Leonid Hurwicz,Economics,,,,,,,,
1933,Russia,Ivan Bunin,Literature,,,,,,,,
1908,Russia,Ilya Mechnikov,Medicine,,,,,,,,
1904,Russia,Ivan Pavlov,Medicine,,,,,,,,
2010,Russia,Andre Geim,Physics,,,,,,,,
2010,Russia,Konstantin Novoselov,Physics,,,,,,,,
2003,Russia,Vitaly L. Ginzburg,Physics,,,,,,,,
2000,Russia,Zhores I. Alferov,Physics,,,,,,,,
1992,Saint Lucia,Derek Walcott,Literature,,,,,,,,
2003,South Africa,J.M. Coetzee,Literature,,,,,,,,
1991,South Africa,Nadine Gordimer,Literature,,,,,,,,
1951,South Africa,Max Theiler,Medicine,,,,,,,,
1993,South Africa,Nelson Mandela,Peace,,,,,,,,
1993,South Africa,Rigoberta Menchñ Tum,Peace,,,,,,,,
1984,South Africa,Lech Walesa,Peace,,,,,,,,
1960,South Africa,Philip Noel-Baker,Peace,,,,,,,,
2000,South Korea,Kim Dae-jung,Peace,,,,,,,,
1956,Soviet Union,Nikolay Semenov,Chemistry,,,,,,,,
1975,Soviet Union,Leonid Vitaliyevich Kantorovich,Economics,,,,,,,,
1970,Soviet Union,Alexandr Solzhenitsyn,Literature,,,,,,,,
1965,Soviet Union,Mikhail Sholokhov,Literature,,,,,,,,
1958,Soviet Union,Boris Pasternak,Literature,,,,,,,,
1990,Soviet Union,The 14th Dalai Lama ,Peace,,,,,,,,
1975,Soviet Union,Se_n MacBride,Peace,,,,,,,,
1978,Soviet Union,Pyotr Kapitsa,Physics,,,,,,,,
1964,Soviet Union,Nicolay G. Basov,Physics,,,,,,,,
1964,Soviet Union,Aleksandr M. Prokhorov,Physics,,,,,,,,
1962,Soviet Union,Lev Landau,Physics,,,,,,,,
1958,Soviet Union,Pavel A. Cherenkov,Physics,,,,,,,,
1958,Soviet Union,Iläja M. Frank,Physics,,,,,,,,
1958,Soviet Union,Igor Y. Tamm,Physics,,,,,,,,
1989,Spain,Camilo Jos_ Cela,Literature,,,,,,,,
1977,Spain,Vicente Aleixandre,Literature,,,,,,,,
1956,Spain,Juan RamÜn Jim_nez,Literature,,,,,,,,
1922,Spain,Jacinto Benavente,Literature,,,,,,,,
1904,Spain,Jos_ Echegaray,Literature,,,,,,,,
1906,Spain,Santiago RamÜn y Cajal,Medicine,,,,,,,,
2015,Sweden,Tomas Lindahl,Chemistry,,,,,,,,
1948,Sweden,Arne Tiselius,Chemistry,,,,,,,,
1929,Sweden,Hans von Euler-Chelpin,Chemistry,,,,,,,,
1926,Sweden,The Svedberg,Chemistry,,,,,,,,
1903,Sweden,Svante Arrhenius,Chemistry,,,,,,,,
1977,Sweden,Bertil Ohlin,Economics,,,,,,,,
1974,Sweden,Gunnar Myrdal,Economics,,,,,,,,
2011,Sweden,Tomas Transtr_mer,Literature,,,,,,,,
1974,Sweden,Eyvind Johnson,Literature,,,,,,,,
1974,Sweden,Harry Martinson,Literature,,,,,,,,
1966,Sweden,Nelly Sachs,Literature,,,,,,,,
1951,Sweden,P_r Lagerkvist,Literature,,,,,,,,
1931,Sweden,Erik Axel Karlfeldt,Literature,,,,,,,,
1916,Sweden,Verner von Heidenstam,Literature,,,,,,,,
1909,Sweden,Selma Lagerl_f,Literature,,,,,,,,
2000,Sweden,Arvid Carlsson,Medicine,,,,,,,,
1982,Sweden,Sune K. Bergstr_m,Medicine,,,,,,,,
1982,Sweden,Bengt I. Samuelsson,Medicine,,,,,,,,
1981,Sweden,Torsten N. Wiesel,Medicine,,,,,,,,
1970,Sweden,Ulf von Euler,Medicine,,,,,,,,
1967,Sweden,Ragnar Granit,Medicine,,,,,,,,
1955,Sweden,Hugo Theorell,Medicine,,,,,,,,
1911,Sweden,Allvar Gullstrand,Medicine,,,,,,,,
1982,Sweden,Alfonso Garcêa Robles,Peace,,,,,,,,
1961,Sweden,Albert Lutuli,Peace,,,,,,,,
1930,Sweden,Frank B. Kellogg,Peace,,,,,,,,
1921,Sweden,Christian Lange,Peace,,,,,,,,
1908,Sweden,Fredrik Bajer,Peace,,,,,,,,
1981,Sweden,Kai M. Siegbahn,Physics,,,,,,,,
1970,Sweden,Hannes Alfv_n,Physics,,,,,,,,
1924,Sweden,Manne Siegbahn,Physics,,,,,,,,
1912,Sweden,Gustaf Dal_n,Physics,,,,,,,,
2002,Switzerland,Kurt W»thrich,Chemistry,,,,,,,,
1991,Switzerland,Richard R. Ernst,Chemistry,,,,,,,,
1975,Switzerland,Vladimir Prelog,Chemistry,,,,,,,,
1939,Switzerland,Leopold Ruzicka,Chemistry,,,,,,,,
1937,Switzerland,Paul Karrer,Chemistry,,,,,,,,
1913,Switzerland,Alfred Werner,Chemistry,,,,,,,,
1946,Switzerland,Hermann Hesse,Literature,,,,,,,,
1919,Switzerland,Carl Spitteler,Literature,,,,,,,,
1996,Switzerland,Rolf M. Zinkernagel,Medicine,,,,,,,,
1992,Switzerland,Edmond H. Fischer,Medicine,,,,,,,,
1978,Switzerland,Werner Arber,Medicine,,,,,,,,
1950,Switzerland,Tadeus Reichstein,Medicine,,,,,,,,
1949,Switzerland,Walter Hess,Medicine,,,,,,,,
1948,Switzerland,Paul M»ller,Medicine,,,,,,,,
1909,Switzerland,Theodor Kocher,Medicine,,,,,,,,
2007,Switzerland,Muhammad Yunus,Peace,,,,,,,,
1981,Switzerland,Adolfo P_rez Esquivel,Peace,,,,,,,,
1969,Switzerland,Ren_ Cassin,Peace,,,,,,,,
1963,Switzerland,League of Red Cross Societies ,Peace,,,,,,,,
1963,Switzerland,Linus Pauling,Peace,,,,,,,,
1954,Switzerland,George C. Marshall,Peace,,,,,,,,
1944,Switzerland,Nansen International Office for Refugees ,Peace,,,,,,,,
1938,Switzerland,Robert Cecil,Peace,,,,,,,,
1917,Switzerland,Henri La Fontaine,Peace,,,,,,,,
1910,Switzerland,Auguste Beernaert,Peace,,,,,,,,
1902,Switzerland,Albert Gobat,Peace,,,,,,,,
1902,Switzerland,Henry Dunant,Peace,,,,,,,,
1901,Switzerland,Fr_d_ric Passy,Peace,,,,,,,,
1987,Switzerland,K. Alex M»ller,Physics,,,,,,,,
1986,Switzerland,Heinrich Rohrer,Physics,,,,,,,,
1920,Switzerland,Charles Edouard Guillaume,Physics,,,,,,,,
1996,Timor Leste,Jos_ Ramos-Horta,Peace,,,,,,,,
1996,Timor Leste,Joseph Rotblat,Peace,,,,,,,,
2015,Tunisia,Kailash Satyarthi,Peace,,,,,,,,
2015,Turkey,Aziz Sancar,Chemistry,,,,,,,,
2015,Turkey,Orhan Pamuk,Literature,,,,,,,,
2015,Ukraine,Svetlana Alexievich,Literature,,,,,,,,
1998,United Kingdom,John Pople,Chemistry,,,,,,,,
1997,United Kingdom,John E. Walker,Chemistry,,,,,,,,
1996,United Kingdom,Sir Harold Kroto,Chemistry,,,,,,,,
1982,United Kingdom,Aaron Klug,Chemistry,,,,,,,,
1980,United Kingdom,Frederick Sanger,Chemistry,,,,,,,,
1978,United Kingdom,Peter Mitchell,Chemistry,,,,,,,,
1973,United Kingdom,Geoffrey Wilkinson,Chemistry,,,,,,,,
1969,United Kingdom,Derek Barton,Chemistry,,,,,,,,
1967,United Kingdom,Ronald G.W. Norrish,Chemistry,,,,,,,,
1967,United Kingdom,George Porter,Chemistry,,,,,,,,
